"id","id_1","id_2","id_3","id_4","id_5","id_6","id_7","id_8","id_10","id_11","id_13","id_14","id_15","id_16","id_17","id_18","id_19","id_20","id_22","id_24","id_28","id_29","id_33","id_35","id_39","id_45","id_46","id_47","id_48","id_49","id_50","id_55","id_69","id_105","id_117","id_119","id_133","id_165","id_203","id_214","id_276","id_304","id_473","id_479","id_641","id_746","id_748","id_749","id_750","id_751","id_752","id_753","id_754","id_755","id_756","id_757","id_758","id_759","id_760","id_761","id_762","id_763","id_764","id_765","id_766","id_767","id_768","id_769","id_770","id_771","id_772","id_773","id_774","id_775","id_776","id_777","id_778"
"id_769",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,48,48,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"id_770",0,0,0,0,0,0,0,0,0,0,0,67,0,37,0,47,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
"id_771",0,0,0,0,0,0,0,0,0,26,0,152,0,33,0,0,0,198,125,0,0,0,0,0,0,0,0,0,0,0,0,148,66,152,0,26,12,0,0,125,0,0,0,0,0,161,0,0,0,0,0,0,32,0,30,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,35,0,0,0,0,0
"id_772",0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,113,167,214,0,67,30,0,0,17,0,0,0,0,42,0,0,0,0,51,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,343,57,0,388,0
"id_773",0,0,0,0,0,0,0,0,0,0,0,206,0,60,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,174,214,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,61,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0,0,0
"id_774",0,0,0,0,0,0,0,0,0,182,0,143,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,780,257,498,483,0,231,242,0,0,103,0,0,0,0,708,56,179,0,0,209,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,338,0,0,0,370,0,0,155,0,199,0
"id_775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,24,195,352,88,32,0,0,0,86,0,0,0,0,231,0,364,0,0,47,91,0,0,0,620,0,0,0,0,0,0,0,0,0,0,335,0,0,0,56,0,196,0,0,0,94
"id_776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,164,261,0,245,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374
"id_777",0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,85,142,107,0,38,72,0,0,0,0,0,0,0,88,0,0,0,0,17,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,127,0,0,0,333,0,203,0,0,0,0
"id_778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,168,0,596,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,53,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,334,0,0
