"id","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107"
"31",2,1924,2468,4647,7210,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6671,2978,0,0,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,5507,0,272,508,0,0,0,0,0,4337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",3486,712,0,7116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0,3991,0,0,3479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5141,0,703,0,0,0,0,0,1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",3310,1256,1874,4580,2886,1799,1084,0,0,1002,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,120,880,0,0,0,2075,4093,0,0,0,1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,380,0,0,656,1143,2284,2921,2359,421,1914,0,882,285,0,0,955,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",1861,0,0,0,0,0,0,0,827,0,0,0,0,6438,0,343,0,4321,4309,0,0,0,0,5702,957,2329,0,0,0,2865,0,0,0,0,6052,2787,0,828,234,1520,288,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,237,1916,5981,0,0,6017,0,0,4687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",1242,0,0,101,0,0,0,0,0,0,0,0,0,5826,0,0,0,346,0,0,0,0,0,4831,0,2151,0,0,0,0,0,0,0,6859,0,2035,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,0,6300,2594,0,0,7203,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",5981,954,0,3860,0,0,0,0,258,0,0,0,0,753,0,1140,2191,3893,575,0,0,0,0,1051,2596,917,0,0,0,1910,12,2874,1881,2745,1323,0,0,0,76,109,78,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3943,3630,1876,2201,0,0,2048,0,4,4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,7210,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7210,0,0,0
"38",38,0,0,0,0,0,0,0,3696,0,0,3578,3613,1661,0,5432,0,108,3389,0,0,0,0,886,0,925,0,0,3912,445,0,0,0,880,850,0,0,0,2926,3075,2960,2606,6302,6082,4414,4127,3609,3736,3513,3709,3653,48,3664,3420,0,630,3382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,3385,0,0,1156,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405
"39",0,0,0,0,0,0,0,0,0,0,0,6619,0,0,0,4288,0,0,6670,0,0,0,0,1030,0,0,0,0,0,0,0,0,0,0,0,0,0,6409,0,7210,1180,7210,7210,7210,6185,7210,7210,4877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,3998,0,922,0,0,7210,0,0,0,0,2404,0,451,0,0,0,0,0,0,0,6097,4454,96,0,2030,7210,0,7210,7210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6141,0,0,3767,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
